@RELATION data
@ATTRIBUTE team NUMERC
@ATTRIBUTE tore NUMERIC
@ATTRIBUTE gegentore3 NUMERIC
@ATTRIBUTE steigerung3 NUMERIC
@ATTRIBUTE niederlagen5 NUMERIC
@DATA
1,10,3,0,1
2,9,4,0,0
