Spieler_ID;Vereins_ID;Trikot_Nr;Spieler_Name;Land;Spiele;Tore;Vorlagen;
126;3;11;Stefan Kießling;D;32;15;6;
127;3;7;Heung-Min Son;KOR;30;9;4;
128;3;9;Eren Derdiyok;CH;16;1;1;
129;3;19;Julian Brandt;D;11;2;2;
130;3;24;Seung-Woo Ryu;KOR;2;0;0;
131;3;0;Arkadiusz Milik;PL;0;0;0;
132;5;1;Diego Benaglio;CH;28;0;0;
133;5;20;Max Grün;D;6;0;0;
134;5;21;Patrick Drewes;D;0;0;0;
135;5;34;Ricardo Rodríguez;CH/E;33;5;7;
136;5;25;Naldo;BRA;32;3;2;
137;5;31;Robin Knoche;D;31;2;1;
138;5;15;Christian Träsch;D;21;0;2;
139;5;4;Marcel Schäfer;D;20;1;2;
140;5;2;Patrick Ochs;D;17;0;3;
141;5;5;Timm Klose;CH;10;0;0;
142;5;26;Felipe Lopes;BRA;0;0;0;
143;5;37;Moritz Sprenger;D;0;0;0;
144;5;0;Bjarne Thoelke;D;0;0;0;
145;5;9;Ivan Perisic;CRO;32;9;5;
146;5;22;Luiz Gustavo;BRA;28;4;3;
147;5;27;Maximilian Arnold;D;27;7;3;
148;5;7;Daniel Caligiuri;I/D;23;1;1;
149;5;6;Slobodan Medojevic;SER;20;0;0;
150;5;29;Jan Polak;CZE;17;0;0;
151;5;14;Kevin De Bruyne;B;15;2;6;
152;5;0;Diego;BRA;15;3;2;
153;5;8;Vieirinha;POR;10;1;1;
154;5;0;Ja-Cheol Koo;KOR;10;0;0;
155;5;19;Junior Malanda;B;7;2;1;
156;5;0;Makoto Hasebe;JAP;1;0;0;
157;5;33;Paul Seguin;D;0;0;0;
158;5;0;Tolga Cigerci;TUR;0;0;0;
159;5;11;Ivica Olic;CRO;31;14;6;
160;5;12;Bas Dost;NL;13;4;0;
161;5;30;Stefan Kutschke;D;8;1;0;
162;5;0;Willi Evseev;D;3;0;2;
163;5;0;Giovanni Sio;F;1;0;0;
164;5;24;Kevin Scheidhauer;D;0;0;0;
165;5;0;Patrick Helmes;D;0;0;0;
166;5;0;Sebastian Stolze;D;0;0;0;
167;7;1;Marc-André ter Stegen;D;33;0;0;
168;7;21;Janis Blaswich;D;0;0;0;
169;7;33;Christofer Heimeroth;D;0;0;0;
170;7;24;Tony Jantschke;D;30;1;0;
171;7;39;Martin Stranzl;A;29;2;0;
172;7;27;Julian Korb;D;21;0;0;
173;7;15;Alvaro Dominguez;E;20;1;1;
174;7;17;Oscar Wendt;SWE;17;3;1;
175;7;3;Filip Daems;B;15;2;0;
176;7;4;Roel Brouwers;NL;12;0;1;
177;7;28;Joel Mero;FIN;0;0;0;
178;7;0;Wilfried Sarr;D;0;0;0;
179;7;7;Patrick Herrmann;D;33;6;8;
180;7;23;Christoph Kramer;D;32;2;1;
181;7;18;Juan Arango;VEN;30;8;7;
182;7;34;Granit Xhaka;CH;27;0;1;
183;7;16;Havard Nordtveit;NOR;20;1;1;
184;7;25;Amin Younes;D;14;0;1;
185;7;8;Lukas Rupp;D;10;0;0;
186;7;14;Thorben Marx;D;2;0;0;
187;7;19;Mahmoud Dahoud;D;0;0;0;
188;7;20;Nico Brandenburger;D;0;0;0;
189;7;10;Max Kruse;D;33;12;11;
190;7;11;Raffael;BRA;33;15;6;
191;7;31;Branimir Hrgota;SWE;29;2;0;
192;7;9;Luuk de Jong;NL;13;0;0;
193;7;22;Peniel Mlapa;D;5;1;0;
194;6;21;Loris Karius;D;22;0;0;
195;6;33;Heinz Müller;D;10;0;1;
196;6;29;Christian Wetklo;D;2;0;0;
197;6;15;Dario Kresic;D;0;0;0;
198;6;3;Zdenek Pospech;CZE;33;0;7;
199;6;4;Nikolce Noveski;MKD;31;0;0;
200;6;24;Joo Ho Park;KOR;27;1;2;
201;6;16;Stefan Bell;D;26;0;3;
202;6;20;Junior Diaz;COS;19;0;1;
203;6;2;Bo Svensson;DEN;12;0;1;
204;6;26;Niko Bungert;D;9;1;0;
205;6;22;Julian Koch;D;3;0;0;
206;6;30;Malik Fathi;D;2;0;0;
207;6;24;Tobias Schilk;D;0;0;0;
208;6;6;Johannes Geis;D;32;1;7;
209;6;10;Eric Maxim Choupo-Moting;CMR/D;32;10;3;
210;6;27;Nicolai Müller;D;25;9;3;
211;6;8;Christoph Moritz;D;24;2;3;
212;6;11;Yunus Malli;D;20;4;2;
213;6;19;Elkin Soto;KOL;19;0;0;
214;6;5;Benedikt Saller;D;15;2;0;
215;6;7;Niki Zimling;DEN;15;1;2;
216;6;13;Ja-Cheol Koo;KOR;13;1;1;
217;6;14;Julian Baumgartlinger;A;8;0;1;
218;6;28;Todor Nedelev;BUL;2;0;0;
219;6;17;Chinedu Ede;D;0;0;0;
220;6;0;Nikita Rukavytsya;AUS;0;0;0;
221;6;23;Shinji Okazaki;JAP;32;14;1;
222;6;9;Sebastian Polter;D;12;0;1;
223;6;31;Shawn Parker;D;11;1;0;
224;6;18;Dani Schahin;D;3;0;0;
225;6;35;Petar Sliskovic;CRO;2;0;0;
226;9;35;Marwin Hitz;CH;18;0;0;
227;9;1;Alexander Manninger;A;13;0;0;
228;9;30;Mohamed Amsif;MAR/D;2;0;0;
229;9;37;Ionnis Gelios;D;0;0;0;
230;9;18;Jan-Ingwer Callsen-Bracker;D;32;1;0;
231;9;19;Matthias Ostrzolek;D;32;0;6;
232;9;2;Paul Verhaegh;NL;29;3;4;
233;9;5;Ragnar Klavan;EST;29;1;0;
234;9;20;Jeong-Ho Hong;KOR;16;0;0;
235;9;3;Ronny Philp;D;8;0;1;
236;9;17;Marcel de Jong;CAN;8;0;0;
237;9;4;Dominik Reinhardt;D;1;0;0;
238;9;24;Michael Parkhurst;USA;0;0;0;
239;9;29;Maik Uhde;D;0;0;0;
240;9;32;Raphael Framberger;D;0;0;0;
241;9;7;Halil Altintop;TUR;33;10;3;
242;9;10;Daniel Baier;D;33;0;3;
243;9;28;Andre Hahn;D;31;11;9;
244;9;13;Tobias Werner;D;30;9;7;
